n_anchors,room,origin,max_error_sin_ruido_m,rms_error_con_ruido_m,rms_error_con_ruido_std_m,n_semillas_evaluadas,previous_best_noise_error_m
3,hab_custom,preset,5.687116766346677e-15,0.15307224601055738,0.08677223809276854,5,inf
3,hab_custom,aleatorio,6.270396539048758e-13,0.18789475902993955,0.13194106082120644,5,inf
3,hab_custom,aleatorio,6.559013090834956e-15,0.3675035364471669,0.4235570432525892,5,inf
3,hab_custom,aleatorio,5.329613025353853e-13,0.12358273692040245,0.049889036454798016,5,inf
3,hab_custom,aleatorio,1.8341089340252117e-13,0.2502011744253652,0.35629203307736107,5,inf
3,hab_custom,aleatorio,5.798880529508113e-13,0.20003794766447136,0.12248742818834933,5,inf
3,hab_custom,aleatorio,6.460982930870504e-14,0.2537481008310363,0.17299869994388906,5,inf
3,hab_custom,aleatorio,3.9960626714225003e-14,0.3776145268609534,0.7686671835709006,5,inf
3,hab_custom,aleatorio,6.105217258353122e-15,0.12685354246274133,0.054758739382978414,5,inf
3,hab_custom,aleatorio,9.085532354264799e-15,0.19839298978060863,0.1169764401352738,5,inf
3,hab_custom,aleatorio,9.464936161916843e-15,0.5668581757494975,0.9643703883364674,5,inf
3,hab_custom,aleatorio,1.0712179458978429e-13,0.18890782779591528,0.10755520410225504,5,inf
3,hab_custom,aleatorio,1.4227454996750023e-13,0.2802729788094082,0.32596852680684457,5,inf
3,hab_custom,aleatorio,6.703761607807181e-15,0.19502552986076585,0.17281267562132846,5,inf
3,hab_custom,aleatorio,3.4684476073050936e-15,0.1934770291021793,0.1506693675793586,5,inf
3,hab_custom,aleatorio,1.8693993179973833e-14,0.1975657224149205,0.23678623879937066,5,inf
3,hab_custom,aleatorio,5.639233568644062e-15,0.2264309172517012,0.16506043225034583,5,inf
3,hab_custom,aleatorio,2.8235881172206707e-13,0.30541098158506297,0.25307261526920083,5,inf
3,hab_custom,aleatorio,8.382000022145452e-15,0.20151935211191355,0.12247262139577784,5,inf
3,hab_custom,aleatorio,3.84912897629868e-15,0.16859352837575256,0.08429269479292648,5,inf
3,hab_custom,aleatorio,2.2156090902975896e-13,0.170709246529767,0.09468572715324389,5,inf
3,hab_custom,aleatorio,1.0518447697129405e-14,0.13896342923321303,0.07145378472221676,5,inf
3,hab_custom,aleatorio,2.6645352591003757e-15,0.5300203847214062,0.6472563534689901,5,inf
3,hab_custom,aleatorio,5.352150186685534e-15,0.23742533639919067,0.1368128685550077,5,inf
3,hab_custom,aleatorio,2.2644195468014703e-15,0.19721817562606292,0.12538058009920983,5,inf
3,hab_custom,aleatorio,2.6645352591003757e-15,0.3064437859627344,0.5883548515747941,5,inf
3,hab_custom,aleatorio,3.352800008858181e-15,0.24224990110553077,0.22076087950119028,5,inf
3,hab_custom,aleatorio,2.4861064322362845e-14,0.2098428924829771,0.15692972118393594,5,inf
3,hab_custom,aleatorio,1.172876932345286e-13,0.18940285858862943,0.16532785432267877,5,inf
3,hab_custom,aleatorio,4.3737714791252564e-15,0.3226658888688256,0.4462333032428926,5,inf
4,hab_custom,aleatorio,1.841096603147574e-15,0.1543433182725443,0.06399770322353086,5,0.12358273692040245
4,hab_custom,aleatorio,1.785382228759938e-13,0.2136146681153625,0.1426501050968219,5,0.12358273692040245
4,hab_custom,aleatorio,2.482534153247273e-15,0.17586128671052653,0.10074999470931875,5,0.12358273692040245
4,hab_custom,aleatorio,6.624052893583016e-14,0.17384901133194403,0.10002868557026699,5,0.12358273692040245
4,hab_custom,aleatorio,3.1937394233887776e-14,0.17030890014673025,0.13328011776427492,5,0.12358273692040245
4,hab_custom,aleatorio,2.886579864025407e-15,0.11854384329442764,0.05130368488686426,5,0.12358273692040245
4,hab_custom,aleatorio,1.2658490090568385e-15,0.14339273814220913,0.07693979346057087,5,0.12358273692040245
4,hab_custom,aleatorio,2.2391302085285913e-14,0.17239107977137044,0.10385734960985833,5,0.12358273692040245
4,hab_custom,aleatorio,3.5002851218456245e-15,0.18860158589466558,0.09804799417289974,5,0.12358273692040245
4,hab_custom,aleatorio,9.075949301487864e-14,0.12251095936579431,0.045965947035074464,5,0.12358273692040245
4,hab_custom,aleatorio,4.379755957367587e-15,0.47518304259017385,0.35414861555351235,5,0.12358273692040245
4,hab_custom,aleatorio,2.375981029593432e-15,0.14810881262016606,0.08824824190867316,5,0.12358273692040245
4,hab_custom,aleatorio,1.2560739669470201e-15,0.1252265787676797,0.055499241942795784,5,0.12358273692040245
4,hab_custom,aleatorio,4.334137781101951e-15,0.18710522558292753,0.11556406797048722,5,0.12358273692040245
4,hab_custom,aleatorio,2.0894102363067914e-13,0.1850886195873933,0.11440772502536911,5,0.12358273692040245
4,hab_custom,aleatorio,1.6616296724220897e-15,0.12208844082842552,0.05393702795079968,5,0.12358273692040245
4,hab_custom,aleatorio,2.7465400791133423e-15,0.15535332123280193,0.08463226431664224,5,0.12358273692040245
4,hab_custom,aleatorio,1.7763568394002505e-15,0.14719801678940314,0.07564320348641959,5,0.12358273692040245
4,hab_custom,aleatorio,1.6050308076832566e-15,0.12696080607804555,0.057250236244747794,5,0.12358273692040245
4,hab_custom,aleatorio,5.905092480317098e-15,0.23875421590923857,0.1802943412782903,5,0.12358273692040245
4,hab_custom,aleatorio,1.751142356811798e-13,0.3255695787069981,0.2431091259416799,5,0.12358273692040245
4,hab_custom,aleatorio,7.88069117748057e-14,0.14057844249447513,0.23998039762101336,5,0.12358273692040245
4,hab_custom,aleatorio,1.6171898971698512e-13,0.19438621914584003,0.15677063434630922,5,0.12358273692040245
4,hab_custom,aleatorio,4.463041323674983e-15,0.2073632649000368,0.11496543223993981,5,0.12358273692040245
4,hab_custom,aleatorio,2.531698018113677e-15,0.18056697917710662,0.3999907458861732,5,0.12358273692040245
4,hab_custom,aleatorio,5.5135513075292456e-14,0.2673588567722347,0.16292617493701433,5,0.12358273692040245
4,hab_custom,aleatorio,2.710399819191012e-15,0.13921169797570093,0.10045799704774765,5,0.12358273692040245
4,hab_custom,aleatorio,8.840052795286715e-15,0.20889554092387563,0.11652492137305301,5,0.12358273692040245
4,hab_custom,aleatorio,2.4145755584882908e-15,0.20682980615863078,0.17689508595703565,5,0.12358273692040245
4,hab_custom,aleatorio,3.510833468576701e-16,0.15109783394921567,0.15422263979408246,5,0.12358273692040245
5,hab_custom,aleatorio,1.4217791915866692e-15,0.11883185587418359,0.0591388703503657,5,0.11854384329442764
5,hab_custom,aleatorio,7.691850745534255e-16,0.10690777994046156,0.055042482520919624,5,0.11854384329442764
5,hab_custom,aleatorio,1.1102230246251565e-15,0.1217343688223941,0.06934460705899821,5,0.11854384329442764
5,hab_custom,aleatorio,1.0877919644084146e-15,0.13028582134101602,0.04553193810873654,5,0.11854384329442764
5,hab_custom,aleatorio,9.222205069512407e-16,0.1127777359332417,0.04288470792691571,5,0.11854384329442764
5,hab_custom,aleatorio,9.930136612989092e-16,0.14654038085130386,0.13817108498382616,5,0.11854384329442764
5,hab_custom,aleatorio,8.005932084973442e-16,0.11322335840418576,0.05521045506245373,5,0.11854384329442764
5,hab_custom,aleatorio,9.50197851991224e-16,0.15916387978221427,0.10132287442579893,5,0.11854384329442764
5,hab_custom,aleatorio,1.4895204919483639e-15,0.2219184300271467,0.1536074045611308,5,0.11854384329442764
5,hab_custom,aleatorio,2.3914935841127266e-15,0.2015483303629108,0.13305315955961952,5,0.11854384329442764
5,hab_custom,aleatorio,1.472877282518059e-15,0.14853601424664636,0.08926524358561368,5,0.11854384329442764
5,hab_custom,aleatorio,9.155133597044475e-16,0.1034934823525247,0.051156672917805186,5,0.11854384329442764
5,hab_custom,aleatorio,2.082963028648268e-15,0.12643813847882066,0.06918567164352292,5,0.11854384329442764
5,hab_custom,aleatorio,1.790180836524724e-15,0.12768114748581513,0.05628429270736819,5,0.11854384329442764
5,hab_custom,aleatorio,1.0175362097255202e-15,0.14432165653428464,0.06351857519418325,5,0.11854384329442764
5,hab_custom,aleatorio,4.965068306494546e-16,0.10090316013301862,0.03512372969950594,5,0.11854384329442764
5,hab_custom,aleatorio,1.4217791915866692e-15,0.13160008468488993,0.057871260117454255,5,0.11854384329442764
5,hab_custom,aleatorio,2.7465400791133423e-15,0.13392990553013281,0.06448688964353295,5,0.11854384329442764
5,hab_custom,aleatorio,1.6011864169946884e-15,0.12201316336179248,0.06518133359415126,5,0.11854384329442764
5,hab_custom,aleatorio,6.661338147750939e-16,0.11794986573400111,0.0785210841138727,5,0.11854384329442764
5,hab_custom,aleatorio,9.930136612989092e-16,0.20463788396860144,0.20441986346992927,5,0.11854384329442764
5,hab_custom,aleatorio,2.5989654674417885e-15,0.1081602456081217,0.04085398593279698,5,0.11854384329442764
5,hab_custom,aleatorio,1.4261072965499199e-15,0.1532506336913342,0.07858793294347823,5,0.11854384329442764
5,hab_custom,aleatorio,1.922962686383564e-15,0.11538567545854939,0.050426339690173,5,0.11854384329442764
5,hab_custom,aleatorio,1.8444410139024814e-15,0.13795084792845871,0.07789264900331141,5,0.11854384329442764
5,hab_custom,aleatorio,1.2262814116578437e-15,0.11777814232213552,0.04696983657924027,5,0.11854384329442764
5,hab_custom,aleatorio,9.742167503148516e-16,0.12504999739484612,0.05802885202859596,5,0.11854384329442764
5,hab_custom,aleatorio,1.0877919644084146e-15,0.12083129748453277,0.0700959232753646,5,0.11854384329442764
5,hab_custom,aleatorio,1.831026719408895e-15,0.13467172555999474,0.07488386665669232,5,0.11854384329442764
5,hab_custom,aleatorio,1.3322676295501878e-15,0.12890751465529718,0.06333095719607884,5,0.11854384329442764
6,hab_custom,aleatorio,4.440892098500626e-16,0.13122667206164554,0.06380907980942524,5,0.10090316013301862
6,hab_custom,aleatorio,4.965068306494546e-16,0.13700421999690507,0.07942640113956198,5,0.10090316013301862
6,hab_custom,aleatorio,3.1401849173675503e-16,0.15104984635794144,0.09053373022318091,5,0.10090316013301862
6,hab_custom,aleatorio,3.3306690738754696e-16,0.12567623996008048,0.05127936115782176,5,0.10090316013301862
6,hab_custom,aleatorio,4.965068306494546e-16,0.11602426286831788,0.042563089671833775,5,0.10090316013301862
6,hab_custom,aleatorio,4.965068306494546e-16,0.1428518186154833,0.07352790534360004,5,0.10090316013301862
6,hab_custom,aleatorio,4.440892098500626e-16,0.11077936068279591,0.04654244147107955,5,0.10090316013301862
6,hab_custom,aleatorio,4.965068306494546e-16,0.13249995355165756,0.09958590604695478,5,0.10090316013301862
6,hab_custom,aleatorio,4.041272810440265e-16,0.11408272795128141,0.046383137041313575,5,0.10090316013301862
6,hab_custom,aleatorio,0.0,0.105593520508763,0.03804139778016065,5,0.10090316013301862
6,hab_custom,aleatorio,4.440892098500626e-16,0.13083853772644558,0.058121501432968375,5,0.10090316013301862
6,hab_custom,aleatorio,4.440892098500626e-16,0.12739684623859418,0.07400333270814807,5,0.10090316013301862
6,hab_custom,aleatorio,4.577566798522237e-16,0.12739221124995698,0.05458090210423657,5,0.10090316013301862
6,hab_custom,aleatorio,4.611102534756203e-16,0.12309373858331492,0.05895330260427204,5,0.10090316013301862
6,hab_custom,aleatorio,4.710277376051325e-16,0.12915908444901444,0.04202681164093572,5,0.10090316013301862
