n_anchors,escenario_error,error_label,kind,magnitude,magnitude2,mean_error_m,mean_error_std,rms_error_m,max_error_m
3,bias_neg_0p02,Bias (−),bias_neg,2.000000e-02,,3.474368e-02,5.943918e-03,3.822913e-02,7.692000e-02
3,bias_neg_0p05,Bias (−),bias_neg,5.000000e-02,,8.482860e-02,9.609486e-03,8.972951e-02,1.442336e-01
3,bias_neg_0p1,Bias (−),bias_neg,1.000000e-01,,1.658506e-01,1.204925e-02,1.718953e-01,2.479538e-01
3,bias_pos_0p02,Bias (+),bias_pos,2.000000e-02,,3.827068e-02,1.369799e-02,4.591390e-02,9.486702e-02
3,bias_pos_0p05,Bias (+),bias_pos,5.000000e-02,,8.849858e-02,2.152455e-02,9.908607e-02,1.789158e-01
3,bias_pos_0p1,Bias (+),bias_pos,1.000000e-01,,1.668729e-01,2.763399e-02,1.793553e-01,2.943798e-01
3,combo_biasn0p02_gausss0p02,Bias (−) + Gaussian,combo_bias_neg_gauss,2.000000e-02,2.000000e-02,4.101374e-02,6.029956e-03,4.365556e-02,8.232725e-02
3,combo_biasn0p02_gausss0p05,Bias (−) + Gaussian,combo_bias_neg_gauss,2.000000e-02,5.000000e-02,5.724113e-02,8.906536e-03,6.506815e-02,1.490421e-01
3,combo_biasn0p05_gausss0p02,Bias (−) + Gaussian,combo_bias_neg_gauss,5.000000e-02,2.000000e-02,8.499193e-02,5.390998e-03,8.901655e-02,1.498483e-01
3,combo_biasn0p05_gausss0p05,Bias (−) + Gaussian,combo_bias_neg_gauss,5.000000e-02,5.000000e-02,9.656243e-02,1.225094e-02,1.017733e-01,1.812268e-01
3,combo_biasn0p02_unifsym0p05,Bias (−) + Uniform,combo_bias_neg_unif,2.000000e-02,5.000000e-02,3.797566e-02,3.996115e-03,4.031603e-02,7.240635e-02
3,combo_biasn0p02_unifsym0p1,Bias (−) + Uniform,combo_bias_neg_unif,2.000000e-02,1.000000e-01,4.524659e-02,5.372244e-03,4.882683e-02,9.449979e-02
3,combo_biasn0p05_unifsym0p05,Bias (−) + Uniform,combo_bias_neg_unif,5.000000e-02,5.000000e-02,8.349535e-02,3.524414e-03,8.714531e-02,1.434110e-01
3,combo_biasn0p05_unifsym0p1,Bias (−) + Uniform,combo_bias_neg_unif,5.000000e-02,1.000000e-01,8.590467e-02,7.626410e-03,8.956087e-02,1.484818e-01
3,combo_biasp0p02_gausss0p02,Bias (+) + Gaussian,combo_bias_pos_gauss,2.000000e-02,2.000000e-02,4.296174e-02,8.267595e-03,4.933848e-02,1.097536e-01
3,combo_biasp0p02_gausss0p05,Bias (+) + Gaussian,combo_bias_pos_gauss,2.000000e-02,5.000000e-02,5.885835e-02,1.048498e-02,6.736902e-02,1.575717e-01
3,combo_biasp0p05_gausss0p02,Bias (+) + Gaussian,combo_bias_pos_gauss,5.000000e-02,2.000000e-02,8.800623e-02,1.510010e-02,9.691817e-02,1.840769e-01
3,combo_biasp0p05_gausss0p05,Bias (+) + Gaussian,combo_bias_pos_gauss,5.000000e-02,5.000000e-02,1.003887e-01,1.564505e-02,1.078925e-01,2.064853e-01
3,combo_biasp0p02_unifsym0p05,Bias (+) + Uniform,combo_bias_pos_unif,2.000000e-02,5.000000e-02,3.948907e-02,7.598126e-03,4.452649e-02,9.537046e-02
3,combo_biasp0p02_unifsym0p1,Bias (+) + Uniform,combo_bias_pos_unif,2.000000e-02,1.000000e-01,4.510754e-02,6.273971e-03,4.967243e-02,1.094445e-01
3,combo_biasp0p05_unifsym0p05,Bias (+) + Uniform,combo_bias_pos_unif,5.000000e-02,5.000000e-02,8.895223e-02,1.592106e-02,9.825848e-02,1.877037e-01
3,combo_biasp0p05_unifsym0p1,Bias (+) + Uniform,combo_bias_pos_unif,5.000000e-02,1.000000e-01,9.154988e-02,1.355807e-02,9.905464e-02,1.839179e-01
3,combo_gausss0p02_unifsym0p05,Gaussian + Uniform,combo_gauss_unif,2.000000e-02,5.000000e-02,2.774816e-02,3.398613e-03,3.131529e-02,7.118881e-02
3,combo_gausss0p02_unifsym0p1,Gaussian + Uniform,combo_gauss_unif,2.000000e-02,1.000000e-01,3.453760e-02,5.295876e-03,3.950262e-02,9.550073e-02
3,combo_gausss0p05_unifsym0p05,Gaussian + Uniform,combo_gauss_unif,5.000000e-02,5.000000e-02,4.946639e-02,9.273178e-03,5.755274e-02,1.354852e-01
3,combo_gausss0p05_unifsym0p1,Gaussian + Uniform,combo_gauss_unif,5.000000e-02,1.000000e-01,5.535108e-02,7.837114e-03,6.528597e-02,1.743103e-01
3,gauss_s0p02,Gaussian noise,gauss,2.000000e-02,,2.326790e-02,2.229773e-03,2.644957e-02,6.541261e-02
3,gauss_s0p05,Gaussian noise,gauss,5.000000e-02,,4.576060e-02,5.840233e-03,5.185898e-02,1.271516e-01
3,gauss_s0p1,Gaussian noise,gauss,1.000000e-01,,8.631060e-02,1.484483e-02,1.019663e-01,2.555388e-01
3,sin_error,No error,none,,,2.918663e-15,4.181449e-15,2.148402e-14,1.657826e-13
3,unif_neg_0p05,Uniform noise (negative only),unif_neg,5.000000e-02,,4.505248e-02,4.280625e-03,4.769416e-02,8.796300e-02
3,unif_neg_0p1,Uniform noise (negative only),unif_neg,1.000000e-01,,8.613858e-02,6.534072e-03,8.930902e-02,1.444979e-01
3,unif_neg_0p2,Uniform noise (negative only),unif_neg,2.000000e-01,,1.726599e-01,1.331114e-02,1.793266e-01,2.907237e-01
3,unif_pos_0p05,Uniform noise (positive only),unif_pos,5.000000e-02,,4.962752e-02,1.145808e-02,5.625987e-02,1.176505e-01
3,unif_pos_0p1,Uniform noise (positive only),unif_pos,1.000000e-01,,9.140015e-02,1.561803e-02,9.931761e-02,1.911148e-01
3,unif_pos_0p2,Uniform noise (positive only),unif_pos,2.000000e-01,,1.764157e-01,2.050998e-02,1.865128e-01,3.241392e-01
3,unif_sym_0p05,Uniform noise (symmetric),unif_sym,5.000000e-02,,1.847483e-02,1.630918e-03,2.032133e-02,4.979412e-02
3,unif_sym_0p1,Uniform noise (symmetric),unif_sym,1.000000e-01,,3.122158e-02,3.666098e-03,3.525729e-02,8.372047e-02
3,unif_sym_0p2,Uniform noise (symmetric),unif_sym,2.000000e-01,,5.560038e-02,5.593662e-03,6.392388e-02,1.480484e-01
3,heter_A1-biasN_A2-biasN_A3-biasN_tag-none,unknown,unknown,,,8.482860e-02,9.609486e-03,8.972951e-02,1.442336e-01
3,heter_A1-biasN_A2-biasN_A3-gaussN_tag-unifN,unknown,unknown,,,1.571325e-01,1.421514e-02,1.624495e-01,2.427423e-01
3,heter_A1-biasN_A2-biasP_A3-unifP_tag-gauss0,unknown,unknown,,,1.188698e-01,9.009188e-03,1.261462e-01,2.351637e-01
3,heter_A1-biasN_A2-gauss0_A3-gauss0_tag-biasN,unknown,unknown,,,1.385831e-01,8.726505e-03,1.418085e-01,2.138311e-01
3,heter_A1-biasN_A2-gauss0_A3-gauss0_tag-gaussN,unknown,unknown,,,1.208740e-01,1.576469e-02,1.279451e-01,2.208146e-01
3,heter_A1-biasN_A2-gaussN_A3-gauss0_tag-gauss0,unknown,unknown,,,8.768005e-02,1.219414e-02,9.738612e-02,2.122966e-01
3,heter_A1-biasN_A2-unifN_A3-gauss0_tag-unifN,unknown,unknown,,,1.473055e-01,8.774919e-03,1.516734e-01,2.298181e-01
3,heter_A1-biasN_A2-unifP_A3-unifN_tag-unifS,unknown,unknown,,,1.444729e-01,1.218244e-02,1.519122e-01,2.500074e-01
3,heter_A1-biasN_A2-unifS_A3-biasP_tag-gauss0,unknown,unknown,,,9.682440e-02,2.162075e-02,1.055699e-01,2.243519e-01
3,heter_A1-biasP_A2-biasP_A3-gauss0_tag-gaussN,unknown,unknown,,,7.255367e-02,1.093690e-02,8.112615e-02,1.612396e-01
3,heter_A1-biasP_A2-gauss0_A3-unifN_tag-gauss0,unknown,unknown,,,1.011502e-01,2.041499e-02,1.094902e-01,2.220636e-01
3,heter_A1-gauss0_A2-biasN_A3-biasN_tag-gaussN,unknown,unknown,,,1.213268e-01,1.025309e-02,1.258144e-01,2.294938e-01
3,heter_A1-gauss0_A2-gaussN_A3-biasN_tag-gaussP,unknown,unknown,,,7.480971e-02,1.637761e-02,8.467326e-02,1.723253e-01
3,heter_A1-gauss0_A2-gaussN_A3-unifN_tag-biasN,unknown,unknown,,,1.325668e-01,7.205346e-03,1.366876e-01,2.165823e-01
3,heter_A1-gauss0_A2-none_A3-biasN_tag-unifP,unknown,unknown,,,8.632681e-02,1.066806e-02,9.240812e-02,1.852511e-01
3,heter_A1-gauss0_A2-none_A3-gaussN_tag-unifS,unknown,unknown,,,5.940262e-02,9.222363e-03,6.953263e-02,1.693084e-01
3,heter_A1-gaussN_A2-biasP_A3-biasP_tag-gauss0,unknown,unknown,,,1.012351e-01,1.413629e-02,1.078720e-01,2.115661e-01
3,heter_A1-gaussN_A2-biasP_A3-unifN_tag-gauss0,unknown,unknown,,,1.219655e-01,1.224912e-02,1.312381e-01,2.398919e-01
3,heter_A1-gaussN_A2-unifN_A3-gaussP_tag-biasP,unknown,unknown,,,1.127931e-01,1.300910e-02,1.184739e-01,2.148408e-01
3,heter_A1-gaussP_A2-biasN_A3-gaussP_tag-gaussN,unknown,unknown,,,1.090914e-01,1.098506e-02,1.157543e-01,2.073434e-01
3,heter_A1-gaussP_A2-biasP_A3-unifS_tag-gaussP,unknown,unknown,,,1.146625e-01,1.271916e-02,1.221003e-01,2.453617e-01
3,heter_A1-gaussP_A2-gauss0_A3-unifP_tag-biasN,unknown,unknown,,,6.847970e-02,1.160718e-02,7.422865e-02,1.536942e-01
3,heter_A1-gaussP_A2-none_A3-gaussN_tag-gauss0,unknown,unknown,,,7.464379e-02,1.197425e-02,8.432749e-02,1.852490e-01
3,heter_A1-gaussP_A2-unifN_A3-gauss0_tag-gauss0,unknown,unknown,,,1.016778e-01,1.237803e-02,1.091858e-01,2.091476e-01
3,heter_A1-gaussP_A2-unifN_A3-gaussP_tag-unifS,unknown,unknown,,,1.185343e-01,1.503383e-02,1.249734e-01,2.114708e-01
3,heter_A1-gaussP_A2-unifP_A3-gaussN_tag-gauss0,unknown,unknown,,,9.669692e-02,1.861788e-02,1.041421e-01,2.102380e-01
3,heter_A1-none_A2-gauss0_A3-unifN_tag-unifN,unknown,unknown,,,1.319727e-01,8.094708e-03,1.361963e-01,2.167986e-01
