n_anchors,room,room_x,room_y,room_z,trajectory,escenario_error,heterogeneo,n_componentes_error,repeat,n_points,n_valid,mean_error_m,rms_error_m,max_error_m,min_error_m,csv_file
3,hab_custom,5,8,3,line,sin_error,False,0,1,60,60,9.163810375128122e-15,6.880648770504782e-14,5.329613025353853e-13,0.0,simulacion_uwb_3anclas_hab_custom_line_sin_error.csv
3,hab_custom,5,8,3,line,bias_pos_0p02,False,1,1,60,60,0.029750164831203647,0.03050348077085171,0.03912785522484219,0.021019927000135354,simulacion_uwb_3anclas_hab_custom_line_bias_pos_0p02.csv
3,hab_custom,5,8,3,line,bias_neg_0p02,False,1,1,60,60,0.030071790003464792,0.03087736793193685,0.03986150966424984,0.021026508657726133,simulacion_uwb_3anclas_hab_custom_line_bias_neg_0p02.csv
3,hab_custom,5,8,3,line,bias_pos_0p05,False,1,1,60,60,0.0738161700186186,0.0756111893632883,0.09655631213940546,0.05253768119603159,simulacion_uwb_3anclas_hab_custom_line_bias_pos_0p05.csv
3,hab_custom,5,8,3,line,bias_neg_0p05,False,1,1,60,60,0.07583267775399825,0.07795599903984675,0.10115967981873808,0.05257882231949732,simulacion_uwb_3anclas_hab_custom_line_bias_neg_0p05.csv
3,hab_custom,5,8,3,line,bias_pos_0p1,False,1,1,60,60,0.14592786966969074,0.14925381866049153,0.1892641665159894,0.10503632803132998,simulacion_uwb_3anclas_hab_custom_line_bias_pos_0p1.csv
3,hab_custom,5,8,3,line,bias_neg_0p1,False,1,1,60,60,0.15410085548078373,0.15876455215272395,0.2079369935635908,0.10520191126560667,simulacion_uwb_3anclas_hab_custom_line_bias_neg_0p1.csv
3,hab_custom,5,8,3,line,gauss_s0p02,False,1,1,60,60,0.02341485085267562,0.02586300361798556,0.04934784877184574,0.0029208749141931296,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p02_rep1.csv
3,hab_custom,5,8,3,line,gauss_s0p02,False,1,2,60,60,0.02321713007977788,0.026517257630150306,0.06143428620993392,0.0045870731607096284,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p02_rep2.csv
3,hab_custom,5,8,3,line,gauss_s0p02,False,1,3,60,60,0.026206008515588457,0.0313252543507517,0.11466665322002008,0.004666976466732871,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p02_rep3.csv
3,hab_custom,5,8,3,line,gauss_s0p05,False,1,1,60,60,0.04350002656387782,0.04955908449637277,0.12696240945133286,0.01002641441081244,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p05_rep1.csv
3,hab_custom,5,8,3,line,gauss_s0p05,False,1,2,60,60,0.046369382006284106,0.05068684670614382,0.12013296456194869,0.00972590193356001,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p05_rep2.csv
3,hab_custom,5,8,3,line,gauss_s0p05,False,1,3,60,60,0.03963893231328151,0.04452203431953379,0.10400389097748305,0.007414300592191168,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p05_rep3.csv
3,hab_custom,5,8,3,line,gauss_s0p1,False,1,1,60,60,0.089873193686727,0.10099746208557926,0.19809415026509666,0.011221733083015795,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p1_rep1.csv
3,hab_custom,5,8,3,line,gauss_s0p1,False,1,2,60,60,0.09374451325827347,0.11092288124722055,0.26967217371573565,0.007100337662499815,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p1_rep2.csv
3,hab_custom,5,8,3,line,gauss_s0p1,False,1,3,60,60,0.09819305418246442,0.12627989895475508,0.32605821339541763,0.023368474429868218,simulacion_uwb_3anclas_hab_custom_line_gauss_s0p1_rep3.csv
